Date,Open,High,Low,Close,Volume,Adj Close
1997-12-29,94.593697,95.718697,94.4375,95.625,2080000,69.830356
1997-12-26,94.125,94.125,93.406197,93.781197,941800,68.483915
1997-12-24,94.4375,94.4375,93.25,93.406197,2019200,68.21007
1997-12-23,95.4375,95.625,93.531197,93.6875,4436500,68.415492
1997-12-22,95.4375,95.906197,94.5625,95.390602,5136800,69.659186
1997-12-19,94.531197,95.875,92.375,94.781197,8556000,69.214167
1997-12-18,96.9375,96.9375,95.218697,95.875,4658300,69.735424
1997-12-17,97.843697,97.875,96.703102,96.8125,2236300,70.417322
1997-12-16,97.218697,97.8125,96.875,97.3125,2885800,70.781001
1997-12-15,96.25,97.109299,95.875,96.718697,4674700,70.349093
1997-12-12,96.4375,96.50,94.906197,95.75,4478400,69.644504
1997-12-11,96.3125,96.593697,95.3125,95.5625,5072800,69.508125
1997-12-10,97.5625,97.843697,96.468697,97.218697,3558400,70.712772
1997-12-09,98.218697,98.593697,97.625,98.0625,1703000,71.326519
1997-12-08,98.968697,99.00,98.25,98.656197,2289200,71.758349
1997-12-05,97.375,99.00,97.125,98.9375,3458800,71.962957
1997-12-04,98.50,98.718697,97.375,97.6875,2872500,71.05376
1997-12-03,97.625,98.531197,96.875,97.781197,3302500,71.121911
1997-12-02,97.6875,97.984299,97.25,97.50,1974900,70.91738
1997-12-01,96.218697,98.093697,96.031197,98.093697,4850900,71.34921
1997-11-28,95.75,96.25,95.593697,95.625,1564700,69.553584
1997-11-26,95.875,95.984299,95.3125,95.531197,2681100,69.485356
1997-11-25,95.625,95.8125,94.656197,95.25,4525000,69.280825
1997-11-24,96.00,96.343697,94.625,95.00,4337200,69.098986
1997-11-21,96.625,96.8125,95.656197,96.75,5436500,70.371862
1997-11-20,95.3125,96.531197,95.281197,96.093697,4822700,69.894494
1997-11-19,93.6875,95.0625,92.75,94.656197,4387900,68.848918
1997-11-18,94.8125,95.093697,93.890602,94.1875,3433600,68.508008
1997-11-17,94.375,95.3125,94.031197,94.781197,5149900,68.939837
1997-11-14,92.3125,93.390602,91.609299,93.0625,5827900,67.68973
1997-11-13,91.468697,92.156197,90.093697,91.8125,8589600,66.780533
1997-11-12,91.625,92.718697,90.375,90.50,6775300,65.825876
1997-11-11,92.6875,93.0625,92.031197,92.406197,3212400,67.212363
1997-11-10,93.625,93.843697,92.00,92.375,4347900,67.189672
1997-11-07,92.375,93.25,91.4375,92.9375,10606800,67.59881
1997-11-06,94.031197,94.343697,93.50,93.953102,3679800,68.337517
1997-11-05,94.1875,95.281197,93.843697,94.3125,4774900,68.598927
1997-11-04,93.875,94.4375,93.281197,94.00,3455700,68.371628
1997-11-03,93.1875,94.375,92.875,94.00,5548500,68.371628
1997-10-31,91.8125,92.50,90.4375,92.0625,7072700,66.962372
1997-10-30,90.625,92.5625,89.75,89.9375,9772900,65.416737
1997-10-29,92.50,93.75,91.281197,91.968697,10134400,66.894144
1997-10-28,84.375,92.875,84.375,92.218697,19548000,67.075983
1997-10-27,93.015602,93.9375,86.843697,87.1875,10840700,63.416503
1997-10-24,96.156197,96.156197,93.671799,94.00,6778700,68.371628
1997-10-23,94.9375,95.75,94.281197,94.9375,8054100,69.053526
1997-10-22,97.343697,97.390602,96.531197,96.843697,4485200,70.440013
1997-10-21,96.218697,97.50,96.031197,97.484299,5225400,70.90596
1997-10-20,94.843697,95.75,94.156197,95.625,3636400,69.553584
1997-10-17,95.015602,95.375,93.00,94.281197,8151300,68.576159
1997-10-16,97.3125,97.50,95.00,95.25,9488100,69.280825
1997-10-15,96.3125,97.0625,96.281197,96.781197,2601700,70.394553
1997-10-14,97.468697,97.50,96.1875,97.00,2235700,70.553701
1997-10-13,97.343697,97.546799,96.718697,96.968697,1760300,70.530933
1997-10-10,96.3125,96.984299,96.25,96.875,2858100,70.462782
1997-10-09,96.781197,97.609299,96.218697,97.156197,3607600,70.667312
1997-10-08,98.359299,98.375,96.734299,97.50,4439400,70.91738
1997-10-07,97.531197,98.50,97.203102,98.1875,1832800,71.417439
1997-10-06,97.3125,97.609299,96.906197,97.281197,2272100,70.758232
1997-10-03,97.468697,97.75,95.343697,96.640602,6499900,70.29229
1997-10-02,95.531197,96.1875,95.3125,96.156197,2577500,69.939954
1997-10-01,95.25,95.8125,94.781197,95.625,3567500,69.553584
1997-09-30,95.00,95.6875,94.375,94.375,4137600,68.644387
1997-09-29,94.50,95.5625,94.156197,95.375,2065000,69.371745
1997-09-26,94.4375,94.8125,94.1875,94.468697,3995800,68.712538
1997-09-25,94.25,94.75,93.625,93.6875,6327800,68.144329
1997-09-24,95.375,96.109299,94.281197,94.343697,2793100,68.621618
1997-09-23,95.5625,95.703102,94.75,95.125,1872800,69.189906
1997-09-22,95.50,96.203102,95.218697,95.5625,3259000,69.508125
1997-09-19,94.656197,95.359299,94.406197,95.031197,1566400,69.121677
1997-09-18,95.00,96.375,94.968697,95.218697,5045400,69.004936
1997-09-17,95.375,95.50,94.50,94.8125,2220000,68.710565
1997-09-16,93.3125,95.281197,93.031197,94.8125,6979000,68.710565
1997-09-15,92.656197,93.3125,92.1875,92.50,2060500,67.034698
1997-09-12,92.00,92.968697,90.9375,92.656197,6708000,67.147894
1997-09-11,91.781197,91.906197,90.25,91.1875,7055900,66.08353
1997-09-10,93.125,93.50,91.656197,91.656197,3623700,66.423194
1997-09-09,93.218697,94.281197,92.906197,93.593697,1885200,67.827299
1997-09-08,93.718697,94.00,93.3125,93.546799,803500,67.793312
1997-09-05,93.968697,94.4375,92.593697,93.140602,3663300,67.498942
1997-09-04,93.0625,93.718697,92.75,93.406197,2473700,67.691418
1997-09-03,93.296799,94.00,92.75,92.8125,2812500,67.261167
1997-09-02,90.6875,93.359299,90.593697,93.3125,7294000,67.623516
1997-08-29,90.125,91.109299,89.718697,90.375,2652300,65.494712
1997-08-28,91.1875,91.9375,90.00,90.015602,4287900,65.234256
1997-08-27,91.00,91.968697,90.406197,91.406197,5484300,66.242019
1997-08-26,92.00,92.5625,90.703102,90.859299,4290000,65.845683
1997-08-25,92.781197,93.406197,91.843697,92.218697,3888000,66.830838
1997-08-22,91.00,92.734299,90.5625,92.5625,8087800,67.079992
1997-08-21,94.125,94.25,92.093697,92.593697,5392600,67.1026
1997-08-20,92.9375,94.3125,92.609299,94.25,3564600,68.302922
1997-08-19,92.218697,92.906197,91.531197,92.843697,3802800,67.283775
1997-08-18,90.375,91.781197,89.343697,91.781197,5638900,66.513782
1997-08-15,92.125,92.125,89.625,89.781197,4907100,65.064383
1997-08-14,93.093697,93.3125,91.718697,92.625,3462700,67.125285
1997-08-13,93.6875,93.843697,91.468697,92.281197,6982300,66.876131
1997-08-12,94.218697,94.546799,92.468697,92.5625,6132500,67.079992
1997-08-11,93.75,94.281197,92.625,94.0625,6355900,68.167041
1997-08-08,94.3125,94.75,92.406197,93.375,7113100,67.66881
